Label,Ontology ID
Medullary Fibroblast,CL:0000057
Cycling Mononuclear Phagocyte,CL:0000113
M2 Macrophage,CL:0000235
Vascular Smooth Muscle / Pericyte,CL:0000359
Classical Dendritic,CL:0000451
Natural Killer T,CL:0000542
Mesangial,CL:0000650
Immune,CL:0000738
Plasmacytoid Dendritic,CL:0000784
B,CL:0000785
T,CL:000084
Intercalated Type B,CL:0002201
Schwann / Neural,CL:0002573
Principal,CL:0005009
Intercalated,CL:0005010
Cortical Collecting Duct Intercalated Type A,CL:0005011
Inner Medullary Collecting Duct,CL:1000547
Papillary Tip Epithelial,CL:1000597
